ASM24665	kt telecop 영업전산_영업전산_미납_서비스요청_운영
ASM14261	KOS-Web_KT샵_KT샵_서비스요청_운영
ASM30058	CRM(WI 상담지식)(ISC)
ASM37550	Shared Service (IT 서비스 지원)_ISC원격상담지원_ISC원격상담지원_서비스요청_2선
ASM38415	KOS-요금_KOS-Billing_KOS-NCM_서비스요청_2선
ASM39555	KOS-오더_KOS-Customer_공통그룹_CDM_서비스요청_2선
ASM39847	KOS-오더_KOS-오더_KOS-스마트렌탈_서비스요청_2선
ASM30358	KOS-CRM_멤버쉽인증_멤버쉽인증_서비스요청_운영
ASM39556	KOS-오더_KOS-Customer_공통그룹_무선오더_서비스요청_2선
ASM39557	KOS-오더_KOS-Customer_공통그룹_유선오더_서비스요청_2선
ASM40047	KOS-요금_ICIS_ICIS-결합_서비스요청_2선
ASM40042	KOS-요금_ICIS_ICIS-공통_서비스요청_2선
ASM14334	KOS-오더_KT카드영업_KT카드영업_서비스요청_운영
ASM40270	KOS-Web_Y데이터박스_Y데이터박스_서비스요청_2선
ASM39559	KOS-요금_KOS-Billing_공통그룹_Rater_서비스요청_2선
ASM37580	서비스플랫폼_대화플랫폼_대화플랫폼_서비스요청_2선
ASM39733	KOS-오더_KOS-오더_KOS-오더_서비스요청_2선
